Schluessel,hatFahrzeugArtGruppierung,hatTatbestandstabelleBE,gehoertZuERTLTabelle
'1','1','703000','703100'
'2','2','703002','703100'
'3','3','703004','703100'
'4','1','703001','703101'
'5','2','703003','703101'
'6','3','703005','703101'
'7','1','703006','703110'
'8','2','703008','703110'
'9','3','703010','703110'
'10','1','703007','703111'
'11','2','703009','703111'
'12','3','703011','703111'
'13','1','703012','703112'
'14','2','703014','703112'
'15','3','703016','703112'
'16','1','703013','703113'
'17','2','703015','703113'
'18','3','703017','703113'
'19','1','718000','718100'
'20','2','718001','718100'
'21','3','718002','718100'
'22','1','720000','720100'
'23','2','720002','720100'
'24','3','720004','720100'
'25','1','720001','720101'
'26','2','720003','720101'
'27','3','720005','720101'
'28','1','720006','720110'
'29','2','720008','720110'
'30','3','720010','720110'
'31','1','720007','720111'
'32','2','720009','720111'
'33','3','720011','720111'
'34','9','731000','731100'
'35','5','731001','731100'
'36','7','731002','731100'
'37','8','731020','731100'
'38','4','731021','731100'
'39','6','731022','731100'
'40','9','731003','731101'
'41','5','731004','731101'
'42','7','731005','731101'
'43','8','731023','731101'
'44','4','731024','731101'
'45','6','731025','731101'
'46','11','731010','731102'
'47','10','731011','731102'
'48','8','731030','731102'
'49','4','731031','731102'
'50','11','731012','731103'
'51','10','731013','731103'
'52','8','731032','731103'
'53','4','731033','731103'
'54','9','731040','731104'
'55','5','731041','731104'
'56','8','731050','731104'
'57','4','731051','731104'
'58','9','731042','731105'
'59','5','731043','731105'
'60','8','731052','731105'
'61','4','731053','731105'
'62','9','731060','731106'
'63','5','731061','731106'
'64','11','731070','731106'
'65','10','731071','731106'
'66','8','731080','731106'
'67','4','731081','731106'
'68','9','734000','734100'
'69','5','734001','734100'
'70','7','734002','734100'
'71','8','734020','734100'
'72','4','734021','734100'
'73','6','734022','734100'
'74','11','734010','734101'
'75','10','734011','734101'
'76','8','734030','734101'
'77','4','734031','734101'
'78','9','734040','734102'
'79','5','734041','734102'
'80','8','734050','734102'
'81','4','734051','734102'
'82','9','734060','734103'
'83','5','734061','734103'
'84','7','734062','734103'
'85','11','734070','734104'
'86','10','734071','734104'
'87','9','734080','734105'
'88','5','734081','734105'
'89','9','734003','734106'
'90','5','734004','734106'
'91','7','734005','734106'
'92','8','734023','734106'
'93','4','734024','734106'
'94','6','734025','734106'
'95','11','734012','734107'
'96','10','734013','734107'
'97','8','734032','734107'
'98','4','734033','734107'
'99','9','734042','734108'
'100','5','734043','734108'
'101','8','734052','734108'
'102','4','734053','734108'
'103','9','734063','734109'
'104','5','734064','734109'
'105','7','734065','734109'
'106','11','734072','734110'
'107','10','734073','734110'
'108','9','734082','734111'
'109','5','734083','734111'
'110','1','741000','741100'
'111','2','741001','741100'
'112','3','741002','741100'
'113','1','741003','741110'
'114','2','741005','741110'
'115','3','741007','741110'
'116','1','741004','741111'
'117','2','741006','741111'
'118','3','741008','741111'
'119','1','742000','742100'
'120','2','742001','742100'
'121','3','742002','742100'
'122','9','742300','742500'
'123','5','742301','742500'
'124','8','742320','742500'
'125','4','742321','742500'
'126','11','742310','742501'
'127','10','742311','742501'
'128','9','742330','742502'
'129','5','742331','742502'
'130','11','742340','742503'
'131','10','742341','742503'
'132','4','703002','703100'
'133','5','703002','703100'
'134','10','703002','703100'
'135','4','703003','703101'
'136','5','703003','703101'
'137','10','703003','703101'
'138','4','703008','703110'
'139','5','703008','703110'
'140','10','703008','703110'
'141','4','703009','703111'
'142','5','703009','703111'
'143','10','703009','703111'
'144','4','703014','703112'
'145','5','703014','703112'
'146','10','703014','703112'
'147','4','703015','703113'
'148','5','703015','703113'
'149','10','703015','703113'
'150','4','718001','718100'
'151','5','718001','718100'
'152','10','718001','718100'
'153','4','720002','720100'
'154','5','720002','720100'
'155','10','720002','720100'
'156','4','720003','720101'
'157','5','720003','720101'
'158','10','720003','720101'
'159','4','720008','720110'
'160','5','720008','720110'
'161','10','720008','720110'
'162','4','720009','720111'
'163','5','720009','720111'
'164','10','720009','720111'
'165','4','741001','741100'
'166','5','741001','741100'
'167','10','741001','741100'
'168','4','741005','741110'
'169','5','741005','741110'
'170','10','741005','741110'
'171','4','741006','741111'
'172','5','741006','741111'
'173','10','741006','741111'
'174','4','742001','742100'
'175','5','742001','742100'
'176','10','742001','742100'
